x,y,z,finos,litho,alter
1,1,1,4.692909376876179,Litho_B,Alter_B
1,1,2,5.276403603093914,Litho_B,Alter_B
1,1,3,6.127533880785517,Litho_B,Alter_C
1,1,4,7.067387671325216,Litho_B,Alter_C
1,1,5,6.976891229877982,Litho_C,Alter_D
1,1,6,5.896557194425639,Litho_C,Alter_D
1,1,7,4.840823766693637,Litho_C,Alter_D
1,1,8,4.253064479410465,Litho_C,Alter_D
1,1,9,3.9260863501590073,Litho_C,Alter_D
1,1,10,3.788333270323757,Litho_C,Alter_D
1,1,11,4.086187889817944,Litho_C,Alter_C
1,1,12,4.35156768790129,Litho_C,Alter_B
1,1,13,4.173847303360914,Litho_C,Alter_B
1,1,14,4.513383377694386,Litho_C,Alter_A
1,1,15,5.235940820756314,Litho_C,Alter_A
1,1,16,4.987374032113286,Litho_C,Alter_A
1,1,17,4.421926916551713,Litho_C,Alter_A
1,1,18,4.253385576372305,Litho_C,Alter_A
1,1,19,3.6000814074020395,Litho_C,Alter_A
1,1,20,2.8652271784292678,Litho_C,Alter_A
1,2,1,3.6603395525170788,Litho_A,Alter_A
1,2,2,4.034240957567931,Litho_B,Alter_B
1,2,3,5.1671216963261255,Litho_B,Alter_B
1,2,4,6.144745947520612,Litho_B,Alter_C
1,2,5,6.031044341558445,Litho_B,Alter_C
1,2,6,5.349409933195693,Litho_C,Alter_D
1,2,7,4.662895250103683,Litho_C,Alter_D
1,2,8,4.114675838315101,Litho_C,Alter_D
1,2,9,4.198097597869718,Litho_C,Alter_D
1,2,10,4.7688537118390295,Litho_C,Alter_C
1,2,11,5.089065669467663,Litho_C,Alter_C
1,2,12,4.932764245505927,Litho_C,Alter_B
1,2,13,4.659083090284129,Litho_C,Alter_A
1,2,14,4.821195069959832,Litho_C,Alter_A
1,2,15,5.001389971259525,Litho_C,Alter_A
1,2,16,4.571140370906275,Litho_C,Alter_A
1,2,17,4.49251507715724,Litho_C,Alter_A
1,2,18,4.744778546141245,Litho_C,Alter_A
1,2,19,3.830649531247553,Litho_C,Alter_B
1,2,20,2.7771113491837003,Litho_C,Alter_B
1,3,1,3.54002492943773,Litho_A,Alter_A
1,3,2,3.705714747589911,Litho_A,Alter_A
1,3,3,4.35613505419636,Litho_B,Alter_A
1,3,4,4.99763524080922,Litho_B,Alter_B
1,3,5,5.1499653424211385,Litho_B,Alter_C
1,3,6,5.146602609694106,Litho_B,Alter_C
1,3,7,4.987940900927463,Litho_B,Alter_D
1,3,8,4.638574420976617,Litho_C,Alter_D
1,3,9,4.907050959548325,Litho_C,Alter_C
1,3,10,5.413329592617739,Litho_C,Alter_C
1,3,11,5.062475084681504,Litho_C,Alter_B
1,3,12,4.492180912062685,Litho_C,Alter_B
1,3,13,4.470302839073333,Litho_C,Alter_A
1,3,14,4.443068545694115,Litho_C,Alter_A
1,3,15,3.9830128986831217,Litho_C,Alter_A
1,3,16,3.622283833227525,Litho_C,Alter_A
1,3,17,4.114650521350272,Litho_C,Alter_B
1,3,18,4.663914312180409,Litho_C,Alter_B
1,3,19,3.971713428612871,Litho_C,Alter_B
1,3,20,3.3516441070263197,Litho_C,Alter_B
1,4,1,3.806821771854711,Litho_A,Alter_A
1,4,2,3.972381322850456,Litho_A,Alter_A
1,4,3,4.087385508240127,Litho_A,Alter_A
1,4,4,4.4190533228301945,Litho_B,Alter_A
1,4,5,4.646600305598102,Litho_B,Alter_B
1,4,6,4.806197968715708,Litho_B,Alter_B
1,4,7,5.049702715269243,Litho_B,Alter_C
1,4,8,5.15940748593383,Litho_B,Alter_C
1,4,9,5.416748755873022,Litho_C,Alter_C
1,4,10,5.4342916303437505,Litho_C,Alter_C
1,4,11,4.595191912500689,Litho_C,Alter_B
1,4,12,4.097495979098576,Litho_C,Alter_B
1,4,13,4.490824982713252,Litho_C,Alter_B
1,4,14,4.376848790426194,Litho_C,Alter_A
1,4,15,3.6347224277130987,Litho_C,Alter_B
1,4,16,3.558998071119311,Litho_C,Alter_B
1,4,17,4.312286187214055,Litho_C,Alter_B
1,4,18,4.728366640039391,Litho_C,Alter_B
1,4,19,4.175147853833402,Litho_C,Alter_B
1,4,20,3.8075771023501526,Litho_C,Alter_B
1,5,1,4.327905193565175,Litho_A,Alter_A
1,5,2,4.3271157855353,Litho_A,Alter_A
1,5,3,3.975642097570532,Litho_A,Alter_A
1,5,4,3.997097210636415,Litho_A,Alter_A
1,5,5,3.932647422646098,Litho_B,Alter_A
1,5,6,3.8209612400564428,Litho_B,Alter_B
1,5,7,4.436641911149368,Litho_B,Alter_B
1,5,8,5.185175490011666,Litho_B,Alter_B
1,5,9,5.381734221114773,Litho_B,Alter_B
1,5,10,4.9698792493522825,Litho_C,Alter_B
1,5,11,4.110237602692913,Litho_C,Alter_B
1,5,12,3.9468211207514963,Litho_C,Alter_B
1,5,13,4.677064398646055,Litho_C,Alter_B
